OBJECTID,Join_Count,TARGET_FID,Fire,Logging,OilPalm,WoodFiber,Concession,OutCon,Protected,OutProtected,Peat,OutPeat,Plantation,OutPlantation,Shape_Length,Shape_Area
1,438,1,438,10,47,37,94,344,44,394,73,365,103,335,31.652582314959215,4.625575592025496
2,8,2,8,0,0,0,0,8,3,5,0,8,1,7,5.532011617744966,0.459702601180630
3,412,3,412,0,0,19,19,393,12,400,11,401,53,359,20.101205100762389,1.360511159600084
4,146,4,146,0,0,0,0,146,5,141,0,146,27,119,8.659101644461440,0.764980362563783
5,278,5,278,5,21,0,26,253,9,269,3,275,73,205,12.250581244791922,1.638859680366131
6,122,6,122,11,0,5,16,106,10,112,0,122,1,121,9.565782119257808,0.974541465553969
7,51,7,51,16,0,0,16,35,3,48,4,47,12,39,129.452622681777400,7.794306285101017
8,6,8,6,0,0,0,0,6,0,6,0,6,0,6,2.485415962523863,0.055148012793993
9,1825,9,1825,30,212,524,766,1066,32,1793,175,1650,615,1210,12.169852521721037,3.990424221580781
10,639,10,639,0,0,0,0,639,28,611,0,639,80,559,11.249195162316779,3.031572801381985
11,271,11,271,0,0,0,0,271,10,261,0,271,26,245,15.630412258900391,2.814932558738421
12,728,12,728,0,0,0,0,728,268,460,0,728,40,688,32.311926643889642,3.942800999319827
13,3025,13,3025,119,1317,416,1852,1252,241,2784,647,2378,967,2058,41.312590731237563,11.941943778489515
14,691,14,691,24,21,68,113,582,69,622,59,632,150,541,19.376102694462588,3.033327502897022
15,2941,15,2941,571,1042,86,1699,1453,228,2713,530,2411,747,2194,22.961417323658534,12.481025532768541
16,1341,16,1341,289,365,167,821,625,71,1270,12,1329,402,939,53.249992514628012,10.313370495716866
17,570,17,570,155,267,53,475,176,10,560,1,569,291,279,46.795915545469803,5.676304341624811
18,179,18,179,0,6,0,6,173,7,172,1,178,46,133,63.096104949655228,0.688040246995748
19,714,19,714,0,46,172,218,496,100,614,9,705,155,559,14.976510289674659,2.734023770627776
20,114,20,114,10,0,0,10,104,54,60,0,114,4,110,57.817966908386083,2.574996356587247
21,322,21,322,5,0,2,7,315,14,308,0,322,12,310,91.509226094123662,3.776283490138341
22,728,22,728,0,0,0,0,728,166,562,0,728,2,726,29.089703226953649,1.626107824300383
23,3283,23,3283,0,0,0,0,3283,612,2671,0,3283,14,3269,52.545970335206597,3.836118080266624
24,677,24,677,19,23,39,81,596,343,334,35,642,28,649,106.067250120736060,25.656769213832959
25,4100,25,4100,61,1035,919,2015,2128,140,3960,2711,1389,2748,1352,33.977352795323988,7.309180094720412
26,124,26,124,7,0,3,10,114,32,92,0,124,3,121,9.800988014007347,1.315063099453234
27,777,27,777,0,0,10,10,767,226,551,0,777,0,777,28.862735625426787,3.767553941551174
28,526,28,526,115,29,5,149,382,88,438,0,526,48,478,57.418160884033441,4.971103255643789
29,777,29,777,263,10,56,329,448,88,689,0,777,281,496,37.637996461880491,2.944898814131608
30,225,30,225,0,0,0,0,225,45,180,0,225,2,223,20.729602455112282,1.187558831106452
31,456,31,456,0,58,36,94,374,70,386,158,298,240,216,26.337705670180384,3.392517181177595
32,3758,32,3758,21,57,316,394,3367,195,3563,278,3480,1325,2433,21.834990333718412,7.051020237677816
33,1231,33,1231,33,121,89,243,988,133,1098,309,922,706,525,34.525708042448287,5.889953769551211
34,33,34,33,0,0,0,0,33,0,33,0,33,0,33,3.051618427690130,0.260731175689270
