OBJECTID,Join_Count,TARGET_FID,Fire,Logging,OilPalm,WoodFiber,Concession,OutCon,Protected,OutProtected,Peat,OutPeat,Plantation,OutPlantation,Shape_Length,Shape_Area
1,461,1,461,17,27,52,96,365,85,376,32,429,47,414,31.652582314959215,4.625575592025496
2,18,2,18,0,0,0,0,18,15,3,0,18,2,16,5.532011617744966,0.459702601180630
3,865,3,865,0,0,129,129,736,50,815,32,833,154,711,20.101205100762389,1.360511159600084
4,168,4,168,0,0,0,0,168,8,160,0,168,21,147,8.659101644461440,0.764980362563783
5,249,5,249,2,18,0,20,229,11,238,45,204,53,196,12.250581244791922,1.638859680366131
6,825,6,825,81,19,145,245,580,72,753,0,825,18,807,9.565782119257808,0.974541465553969
7,596,7,596,148,6,0,154,442,145,451,145,451,27,569,129.452622681777400,7.794306285101017
8,18,8,18,0,0,0,0,18,0,18,0,18,0,18,2.485415962523863,0.055148012793993
9,1450,9,1450,30,217,238,485,978,211,1239,498,952,632,818,12.169852521721037,3.990424221580781
10,730,10,730,0,0,0,0,730,68,662,0,730,100,630,11.249195162316779,3.031572801381985
11,495,11,495,0,0,0,0,495,98,397,0,495,49,446,15.630412258900391,2.814932558738421
12,1965,12,1965,0,0,0,0,1965,1192,773,0,1965,78,1887,32.311926643889642,3.942800999319827
13,11076,13,11076,445,4118,2362,6925,4604,1319,9757,1606,9470,2686,8390,41.312590731237563,11.941943778489515
14,4101,14,4101,154,192,606,952,3219,350,3751,291,3810,1026,3075,19.376102694462588,3.033327502897022
15,23394,15,23394,686,6803,871,8360,15387,7991,15403,11202,12192,5376,18018,22.961417323658534,12.481025532768541
16,4266,16,4266,605,999,763,2367,2319,363,3903,90,4176,1127,3139,53.249992514628012,10.313370495716866
17,419,17,419,62,97,13,172,268,12,407,0,419,136,283,46.795915545469803,5.676304341624811
18,69,18,69,0,0,0,0,69,3,66,3,66,6,63,63.096104949655228,0.688040246995748
19,1548,19,1548,0,74,151,225,1323,292,1256,178,1370,500,1048,14.976510289674659,2.734023770627776
20,1287,20,1287,403,0,0,403,884,89,1198,0,1287,169,1118,57.817966908386083,2.574996356587247
21,2921,21,2921,99,0,135,234,2689,196,2725,0,2921,74,2847,91.509226094123662,3.776283490138341
22,1341,22,1341,0,0,0,0,1341,367,974,0,1341,8,1333,29.089703226953649,1.626107824300383
23,4550,23,4550,0,0,0,0,4550,969,3581,0,4550,32,4518,52.545970335206597,3.836118080266624
24,5012,24,5012,114,38,672,824,4198,2176,2836,402,4610,3,5009,106.067250120736060,25.656769213832959
25,5960,25,5960,13,1625,1648,3286,2716,197,5763,4022,1938,4477,1483,33.977352795323988,7.309180094720412
26,761,26,761,24,46,18,88,673,209,552,0,761,62,699,9.800988014007347,1.315063099453234
27,2130,27,2130,0,5,46,51,2079,783,1347,0,2130,45,2085,28.862735625426787,3.767553941551174
28,2514,28,2514,611,133,50,794,1746,494,2020,0,2514,210,2304,57.418160884033441,4.971103255643789
29,2388,29,2388,320,24,83,427,1961,362,2026,0,2388,379,2009,37.637996461880491,2.944898814131608
30,690,30,690,18,10,0,28,662,124,566,0,690,111,579,20.729602455112282,1.187558831106452
31,342,31,342,0,162,9,171,171,50,292,180,162,245,97,26.337705670180384,3.392517181177595
32,7824,32,7824,66,129,2183,2378,5450,639,7185,2512,5312,3532,4292,21.834990333718412,7.051020237677816
33,1225,33,1225,2,102,51,155,1076,111,1114,574,651,886,339,34.525708042448287,5.889953769551211
34,26,34,26,0,0,0,0,26,11,15,0,26,1,25,3.051618427690130,0.260731175689270
