OBJECTID,Join_Count,TARGET_FID,Fire,Logging,OilPalm,WoodFiber,Concession,OutCon,Protected,OutProtected,Peat,OutPeat,Plantation,OutPlantation,Shape_Length,Shape_Area
1,556,1,556,5,137,18,160,396,53,503,150,406,174,382,31.652582314959215,4.625575592025496
2,30,2,30,0,0,0,0,30,17,13,0,30,7,23,5.532011617744966,0.459702601180630
3,1192,3,1192,0,0,141,141,1051,72,1120,111,1081,237,955,20.101205100762389,1.360511159600084
4,273,4,273,0,0,0,0,273,15,258,0,273,26,247,8.659101644461440,0.764980362563783
5,717,5,717,11,65,0,76,641,44,673,65,652,230,487,12.250581244791922,1.638859680366131
6,438,6,438,36,0,76,112,326,22,416,0,438,4,434,9.565782119257808,0.974541465553969
7,168,7,168,43,1,0,44,124,26,142,13,155,9,159,129.452622681777400,7.794306285101017
8,14,8,14,0,0,0,0,14,0,14,0,14,0,14,2.485415962523863,0.055148012793993
9,4838,9,4838,327,768,1160,2255,2610,492,4346,1680,3158,1866,2972,12.169852521721037,3.990424221580781
10,954,10,954,0,0,0,0,954,79,875,0,954,118,836,11.249195162316779,3.031572801381985
11,606,11,606,0,0,0,0,606,221,385,0,606,30,576,15.630412258900391,2.814932558738421
12,1162,12,1162,0,0,0,0,1162,521,641,0,1162,42,1120,32.311926643889642,3.942800999319827
13,13644,13,13644,491,5761,2246,8498,5650,1721,11923,3372,10272,4331,9313,41.312590731237563,11.941943778489515
14,4875,14,4875,166,241,673,1080,3875,468,4407,345,4530,1241,3634,19.376102694462588,3.033327502897022
15,30210,15,30210,1317,10324,1468,13109,18250,7398,22812,13840,16370,8530,21680,22.961417323658534,12.481025532768541
16,4045,16,4045,947,1257,551,2755,1761,287,3758,56,3989,1520,2525,53.249992514628012,10.313370495716866
17,516,17,516,106,202,82,390,179,6,510,2,514,195,321,46.795915545469803,5.676304341624811
18,258,18,258,0,27,0,27,231,2,256,0,258,93,165,63.096104949655228,0.688040246995748
19,2718,19,2718,0,176,339,515,2203,411,2307,370,2348,1042,1676,14.976510289674659,2.734023770627776
20,390,20,390,123,0,0,123,267,26,364,0,390,30,360,57.817966908386083,2.574996356587247
21,1434,21,1434,35,0,13,48,1386,131,1303,0,1434,48,1386,91.509226094123662,3.776283490138341
22,1041,22,1041,0,0,0,0,1041,247,794,0,1041,3,1038,29.089703226953649,1.626107824300383
23,4738,23,4738,0,0,0,0,4738,992,3746,0,4738,15,4723,52.545970335206597,3.836118080266624
24,3694,24,3694,51,124,455,630,3072,1639,2055,226,3468,115,3579,106.067250120736060,25.656769213832959
25,11143,25,11143,206,3190,2141,5537,5702,530,10613,7063,4080,8198,2945,33.977352795323988,7.309180094720412
26,336,26,336,14,7,13,34,302,96,240,0,336,16,320,9.800988014007347,1.315063099453234
27,1281,27,1281,1,1,34,36,1245,427,854,0,1281,11,1270,28.862735625426787,3.767553941551174
28,1262,28,1262,265,116,29,410,862,152,1110,0,1262,150,1112,57.418160884033441,4.971103255643789
29,2528,29,2528,146,21,132,299,2229,336,2192,0,2528,502,2026,37.637996461880491,2.944898814131608
30,486,30,486,16,3,0,19,467,52,434,0,486,40,446,20.729602455112282,1.187558831106452
31,1601,31,1601,2,107,88,197,1431,428,1173,1119,482,1199,402,26.337705670180384,3.392517181177595
32,17662,32,17662,125,551,6196,6872,10804,776,16886,7170,10492,9325,8337,21.834990333718412,7.051020237677816
33,1910,33,1910,15,165,130,310,1602,159,1751,793,1117,1189,721,34.525708042448287,5.889953769551211
34,104,34,104,0,0,0,0,104,82,22,0,104,0,104,3.051618427690130,0.260731175689270
