OBJECTID,Join_Count,TARGET_FID,Fire,Logging,OilPalm,WoodFiber,Concession,OutCon,Protected,OutProtected,Peat,OutPeat,Plantation,OutPlantation,Shape_Length,Shape_Area
1,532,1,532,1,101,40,142,390,64,468,125,407,126,406,31.652582314959215,4.625575592025496
2,16,2,16,0,0,0,0,16,11,5,0,16,1,15,5.532011617744966,0.459702601180630
3,709,3,709,0,0,88,88,621,49,660,21,688,127,582,20.101205100762389,1.360511159600084
4,164,4,164,0,0,0,0,164,2,162,0,164,13,151,8.659101644461440,0.764980362563783
5,412,5,412,9,53,0,62,354,16,396,5,407,145,267,12.250581244791922,1.638859680366131
6,297,6,297,23,2,40,65,232,17,280,0,297,4,293,9.565782119257808,0.974541465553969
7,141,7,141,46,4,0,50,91,22,119,32,109,1,140,129.452622681777400,7.794306285101017
8,12,8,12,0,0,0,0,12,0,12,0,12,0,12,2.485415962523863,0.055148012793993
9,3562,9,3562,49,1060,469,1578,1994,568,2994,2057,1505,1974,1588,12.169852521721037,3.990424221580781
10,657,10,657,0,0,0,0,657,16,641,0,657,64,593,11.249195162316779,3.031572801381985
11,294,11,294,0,0,0,0,294,1,293,0,294,20,274,15.630412258900391,2.814932558738421
12,1261,12,1261,0,0,0,0,1261,685,576,0,1261,42,1219,32.311926643889642,3.942800999319827
13,8442,13,8442,353,3127,1797,5277,3450,1003,7439,1282,7160,1900,6542,41.312590731237563,11.941943778489515
14,4011,14,4011,86,241,558,885,3216,276,3735,229,3782,1090,2921,19.376102694462588,3.033327502897022
15,14946,15,14946,913,5143,880,6936,8856,3408,11538,5862,9084,4917,10029,22.961417323658534,12.481025532768541
16,5014,16,5014,1022,1401,893,3316,2209,417,4597,100,4914,1338,3676,53.249992514628012,10.313370495716866
17,1058,17,1058,126,321,389,836,284,20,1038,1,1057,569,489,46.795915545469803,5.676304341624811
18,253,18,253,0,16,0,16,237,0,253,2,251,78,175,63.096104949655228,0.688040246995748
19,1271,19,1271,0,90,176,266,1005,196,1075,110,1161,403,868,14.976510289674659,2.734023770627776
20,291,20,291,78,0,0,78,213,55,236,0,291,24,267,57.817966908386083,2.574996356587247
21,1083,21,1083,28,0,39,67,1016,28,1055,0,1083,65,1018,91.509226094123662,3.776283490138341
22,1097,22,1097,0,0,0,0,1097,264,833,0,1097,2,1095,29.089703226953649,1.626107824300383
23,3811,23,3811,0,0,0,0,3811,782,3029,0,3811,15,3796,52.545970335206597,3.836118080266624
24,6851,24,6851,191,99,987,1277,5586,2918,3933,536,6315,47,6804,106.067250120736060,25.656769213832959
25,8393,25,8393,22,1988,2133,4143,4300,571,7822,4848,3545,6480,1913,33.977352795323988,7.309180094720412
26,412,26,412,8,11,7,26,386,88,324,0,412,46,366,9.800988014007347,1.315063099453234
27,1863,27,1863,0,12,47,59,1804,655,1208,0,1863,27,1836,28.862735625426787,3.767553941551174
28,1384,28,1384,255,119,41,415,984,203,1181,0,1384,123,1261,57.418160884033441,4.971103255643789
29,2096,29,2096,219,38,82,339,1757,437,1659,0,2096,222,1874,37.637996461880491,2.944898814131608
30,442,30,442,2,0,1,3,439,124,318,0,442,48,394,20.729602455112282,1.187558831106452
31,929,31,929,0,420,52,472,463,274,655,558,371,659,270,26.337705670180384,3.392517181177595
32,6692,32,6692,174,124,1741,2039,4662,458,6234,1932,4760,2907,3785,21.834990333718412,7.051020237677816
33,2357,33,2357,26,63,437,526,1832,210,2147,588,1769,1755,602,34.525708042448287,5.889953769551211
34,36,34,36,0,0,0,0,36,0,36,0,36,0,36,3.051618427690130,0.260731175689270
