OBJECTID,Join_Count,TARGET_FID,Fire,Logging,OilPalm,WoodFiber,Concession,OutCon,Protected,OutProtected,Peat,OutPeat,Plantation,OutPlantation,Shape_Length,Shape_Area
1,622,1,622,17,97,30,144,478,43,579,265,357,203,419,31.652582314959215,4.625575592025496
2,13,2,13,0,0,0,0,13,8,5,0,13,2,11,5.532011617744966,0.459702601180630
3,555,3,555,0,0,43,43,512,37,518,9,546,76,479,20.101205100762389,1.360511159600084
4,153,4,153,0,0,0,0,153,2,151,0,153,15,138,8.659101644461440,0.764980362563783
5,326,5,326,7,33,0,40,291,21,305,23,303,91,235,12.250581244791922,1.638859680366131
6,37,6,37,3,0,3,6,31,2,35,0,37,0,37,9.565782119257808,0.974541465553969
7,43,7,43,15,0,0,15,28,2,41,6,37,1,42,129.452622681777400,7.794306285101017
8,9,8,9,0,0,0,0,9,0,9,0,9,0,9,2.485415962523863,0.055148012793993
9,1824,9,1824,23,139,547,709,1120,75,1749,301,1523,597,1227,12.169852521721037,3.990424221580781
10,810,10,810,0,0,0,0,810,27,783,0,810,86,724,11.249195162316779,3.031572801381985
11,280,11,280,0,0,0,0,280,3,277,0,280,12,268,15.630412258900391,2.814932558738421
12,843,12,843,0,0,0,0,843,374,469,0,843,44,799,32.311926643889642,3.942800999319827
13,3171,13,3171,134,1304,536,1974,1308,204,2967,758,2413,1116,2055,41.312590731237563,11.941943778489515
14,331,14,331,9,11,25,45,288,21,310,10,321,75,256,19.376102694462588,3.033327502897022
15,1480,15,1480,304,524,61,889,730,42,1438,193,1287,354,1126,22.961417323658534,12.481025532768541
16,770,16,770,135,161,97,393,429,32,738,11,759,175,595,53.249992514628012,10.313370495716866
17,328,17,328,82,101,52,235,121,13,315,2,326,85,243,46.795915545469803,5.676304341624811
18,108,18,108,0,12,0,12,96,3,105,2,106,3,105,63.096104949655228,0.688040246995748
19,447,19,447,0,39,43,82,365,112,335,1,446,78,369,14.976510289674659,2.734023770627776
20,63,20,63,1,0,0,1,62,33,30,0,63,0,63,57.817966908386083,2.574996356587247
21,347,21,347,2,0,1,3,344,11,336,0,347,3,344,91.509226094123662,3.776283490138341
22,616,22,616,0,0,0,0,616,175,441,0,616,1,615,29.089703226953649,1.626107824300383
23,3082,23,3082,0,0,0,0,3082,661,2421,0,3082,13,3069,52.545970335206597,3.836118080266624
24,1019,24,1019,35,11,77,123,896,482,537,40,979,7,1012,106.067250120736060,25.656769213832959
25,5648,25,5648,190,1447,1353,2990,2736,239,5409,3341,2307,3591,2057,33.977352795323988,7.309180094720412
26,58,26,58,3,0,1,4,54,14,44,0,58,2,56,9.800988014007347,1.315063099453234
27,578,27,578,0,0,6,6,572,164,414,0,578,3,575,28.862735625426787,3.767553941551174
28,217,28,217,25,28,7,60,161,25,192,0,217,26,191,57.418160884033441,4.971103255643789
29,405,29,405,146,1,51,198,207,65,340,0,405,143,262,37.637996461880491,2.944898814131608
30,152,30,152,0,0,0,0,152,46,106,0,152,2,150,20.729602455112282,1.187558831106452
31,950,31,950,0,91,113,204,771,173,777,458,492,581,369,26.337705670180384,3.392517181177595
32,2580,32,2580,24,57,266,347,2234,91,2489,277,2303,1051,1529,21.834990333718412,7.051020237677816
33,880,33,880,15,30,132,177,704,119,761,144,736,345,535,34.525708042448287,5.889953769551211
34,12,34,12,0,0,0,0,12,0,12,0,12,0,12,3.051618427690130,0.260731175689270
