OBJECTID,Join_Count,TARGET_FID,Fire,Logging,OilPalm,WoodFiber,Concession,OutCon,Protected,OutProtected,Peat,OutPeat,Plantation,OutPlantation,Shape_Length,Shape_Area
1,1199,1,1199,9,249,42,300,899,56,1143,697,502,446,753,31.652582314959215,4.625575592025496
2,9,2,9,0,0,0,0,9,5,4,0,9,0,9,5.532011617744966,0.459702601180630
3,793,3,793,0,0,39,39,754,43,750,28,765,127,666,20.101205100762389,1.360511159600084
4,100,4,100,0,0,0,0,100,1,99,0,100,15,85,8.659101644461440,0.764980362563783
5,261,5,261,30,27,0,57,224,25,236,10,251,52,209,12.250581244791922,1.638859680366131
6,71,6,71,6,0,10,16,55,4,67,0,71,1,70,9.565782119257808,0.974541465553969
7,75,7,75,23,0,0,23,52,7,68,10,65,0,75,129.452622681777400,7.794306285101017
8,12,8,12,0,0,0,0,12,0,12,0,12,0,12,2.485415962523863,0.055148012793993
9,2800,9,2800,126,388,967,1481,1327,159,2641,870,1930,1161,1639,12.169852521721037,3.990424221580781
10,658,10,658,0,0,0,0,658,47,611,0,658,57,601,11.249195162316779,3.031572801381985
11,337,11,337,0,0,0,0,337,28,309,0,337,19,318,15.630412258900391,2.814932558738421
12,1145,12,1145,0,0,0,0,1145,405,740,0,1145,50,1095,32.311926643889642,3.942800999319827
13,6830,13,6830,277,2454,1154,3885,3135,854,5976,1836,4994,1825,5005,41.312590731237563,11.941943778489515
14,1392,14,1392,37,28,205,270,1132,80,1312,194,1198,348,1044,19.376102694462588,3.033327502897022
15,6076,15,6076,530,1241,124,1895,4369,1779,4297,3391,2685,941,5135,22.961417323658534,12.481025532768541
16,1597,16,1597,414,375,189,978,750,61,1536,23,1574,372,1225,53.249992514628012,10.313370495716866
17,364,17,364,107,112,35,254,168,23,341,12,352,117,247,46.795915545469803,5.676304341624811
18,189,18,189,0,73,0,73,116,0,189,1,188,25,164,63.096104949655228,0.688040246995748
19,904,19,904,0,72,99,171,733,174,730,51,853,167,737,14.976510289674659,2.734023770627776
20,171,20,171,11,0,0,11,160,92,79,0,171,3,168,57.817966908386083,2.574996356587247
21,781,21,781,7,0,2,9,772,60,721,0,781,30,751,91.509226094123662,3.776283490138341
22,761,22,761,0,0,0,0,761,279,482,0,761,1,760,29.089703226953649,1.626107824300383
23,3410,23,3410,0,0,0,0,3410,698,2712,0,3410,7,3403,52.545970335206597,3.836118080266624
24,2253,24,2253,16,54,365,435,1858,1031,1222,99,2154,180,2073,106.067250120736060,25.656769213832959
25,7833,25,7833,365,1377,2513,4255,3767,389,7444,4597,3236,4588,3245,33.977352795323988,7.309180094720412
26,86,26,86,1,3,5,9,77,20,66,0,86,10,76,9.800988014007347,1.315063099453234
27,884,27,884,0,5,17,22,862,256,628,0,884,8,876,28.862735625426787,3.767553941551174
28,449,28,449,60,40,13,113,339,46,403,0,449,57,392,57.418160884033441,4.971103255643789
29,588,29,588,73,2,59,134,454,110,478,0,588,55,533,37.637996461880491,2.944898814131608
30,349,30,349,3,0,0,3,346,92,257,0,349,9,340,20.729602455112282,1.187558831106452
31,731,31,731,0,44,115,159,585,159,572,308,423,340,391,26.337705670180384,3.392517181177595
32,8325,32,8325,233,148,1997,2378,5964,409,7916,2933,5392,3920,4405,21.834990333718412,7.051020237677816
33,846,33,846,38,39,81,158,688,203,643,123,723,214,632,34.525708042448287,5.889953769551211
34,9,34,9,0,0,0,0,9,0,9,0,9,0,9,3.051618427690130,0.260731175689270
