OBJECTID,Join_Count,TARGET_FID,Fire,Logging,OilPalm,WoodFiber,Concession,OutCon,Protected,OutProtected,Peat,OutPeat,Plantation,OutPlantation,Shape_Length,Shape_Area
1,169,1,169,3,17,21,41,128,22,147,27,142,37,132,31.652582314959215,4.625575592025496
2,9,2,9,0,0,0,0,9,3,6,0,9,0,9,5.532011617744966,0.459702601180630
3,38,3,38,0,0,1,1,37,4,34,0,38,4,34,20.101205100762389,1.360511159600084
4,44,4,44,0,0,0,0,44,3,41,0,44,0,44,8.659101644461440,0.764980362563783
5,52,5,52,0,8,0,8,44,4,48,8,44,23,29,12.250581244791922,1.638859680366131
6,30,6,30,0,1,5,6,24,1,29,0,30,0,30,9.565782119257808,0.974541465553969
7,37,7,37,10,0,0,10,27,5,32,5,32,1,36,129.452622681777400,7.794306285101017
8,9,8,9,0,0,0,0,9,0,9,0,9,0,9,2.485415962523863,0.055148012793993
9,220,9,220,0,44,34,78,142,3,217,116,104,153,67,12.169852521721037,3.990424221580781
10,362,10,362,0,0,0,0,362,7,355,0,362,48,314,11.249195162316779,3.031572801381985
11,337,11,337,0,0,0,0,337,187,150,0,337,3,334,15.630412258900391,2.814932558738421
12,429,12,429,0,0,0,0,429,137,292,0,429,11,418,32.311926643889642,3.942800999319827
13,703,13,703,10,240,145,395,329,104,599,124,579,182,521,41.312590731237563,11.941943778489515
14,603,14,603,5,17,41,63,542,76,527,41,562,141,462,19.376102694462588,3.033327502897022
15,2400,15,2400,22,541,72,635,1792,1247,1153,1536,864,511,1889,22.961417323658534,12.481025532768541
16,497,16,497,44,91,33,168,350,30,467,28,469,131,366,53.249992514628012,10.313370495716866
17,35,17,35,8,8,5,21,17,0,35,0,35,5,30,46.795915545469803,5.676304341624811
18,21,18,21,0,0,0,0,21,0,21,0,21,3,18,63.096104949655228,0.688040246995748
19,170,19,170,0,20,23,43,127,9,161,1,169,57,113,14.976510289674659,2.734023770627776
20,59,20,59,1,0,0,1,58,34,25,0,59,1,58,57.817966908386083,2.574996356587247
21,260,21,260,7,0,1,8,252,12,248,0,260,8,252,91.509226094123662,3.776283490138341
22,315,22,315,0,0,0,0,315,75,240,0,315,1,314,29.089703226953649,1.626107824300383
23,1320,23,1320,0,0,0,0,1320,287,1033,0,1320,4,1316,52.545970335206597,3.836118080266624
24,671,24,671,4,16,84,104,567,283,388,52,619,7,664,106.067250120736060,25.656769213832959
25,1677,25,1677,11,613,478,1102,616,67,1610,1074,603,1232,445,33.977352795323988,7.309180094720412
26,84,26,84,0,7,0,7,77,25,59,0,84,8,76,9.800988014007347,1.315063099453234
27,366,27,366,0,1,15,16,350,98,268,0,366,3,363,28.862735625426787,3.767553941551174
28,103,28,103,20,11,3,34,69,13,90,0,103,10,93,57.418160884033441,4.971103255643789
29,268,29,268,16,1,8,25,243,27,241,0,268,38,230,37.637996461880491,2.944898814131608
30,181,30,181,0,0,0,0,181,7,174,0,181,6,175,20.729602455112282,1.187558831106452
31,157,31,157,0,32,2,34,123,28,129,108,49,112,45,26.337705670180384,3.392517181177595
32,367,32,367,10,4,17,31,336,9,358,23,344,147,220,21.834990333718412,7.051020237677816
33,674,33,674,2,46,36,84,590,27,647,256,418,535,139,34.525708042448287,5.889953769551211
34,38,34,38,0,0,0,0,38,22,16,0,38,0,38,3.051618427690130,0.260731175689270
